categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Vêtements Enfants,Ensemble Enfants,6 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5309001_uploaded_image1_1746217790.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Chemise Enfants,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5263591_uploaded_image1_1743688903.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Abaya Pour Anfna,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5263587_uploaded_image1_1743688774.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Djalaba,7 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5257015_uploaded_image1_1743325512.jpg,7 500CFA,7500.0,True,True
Vêtements Enfants,Sous Vetement Enfant,1 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg,1 000CFA,1000.0,True,True
Vêtements Enfants,Robe Afne,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5243665_uploaded_image1_1742560242.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Robes Enfant,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5283049_uploaded_image1_1744729140.jpg,Prix sur demande,,False,True
Vêtements Enfants,Dialaba  2 Pièces,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5233364_uploaded_image1_1742035732.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Dialab,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228687_uploaded_image1_1741791237.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Dialab 3 Pièces  3Ans Jusqua 16Ans,12 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228280_uploaded_image1_1741779191.jpg,12 000CFA,12000.0,True,True
Vêtements Enfants,Dialab Pour Enfant De 1Ans Jusqua 16Ans,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5227274_uploaded_image1_1741722024.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Dialab Enfant 3Pièces,12 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5227233_uploaded_image1_1741720597.jpg,12 000CFA,12000.0,True,True
Vêtements Enfants,Ensemble Dialab Enfants 3Pièces,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214607_uploaded_image1_1741112466.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Ensemble Dialab Pour Enfant De 3Ans Jusqua 16Ans,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214582_uploaded_image1_1741111696.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Dialab Pour Enfant,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214595_uploaded_image1_1741112064.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Robe Iris Enfant,15 000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5204766_uploaded_image1_1740600489.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Jalaba  Pour Enfants,15 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246903_uploaded_image1_1742748145.jpg,15 000CFA,15000.0,True,True
Vêtements Enfants,Jalaba  Pour Enfants,7 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246901_uploaded_image2_1742748053.jpeg,7 000CFA,7000.0,True,True
Vêtements Enfants,Maillots Enfants,10 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246062_uploaded_image1_1742692008.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Robe De Prière  Enfant,5 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5241328_uploaded_image1_1742452229.jpg,5 000CFA,5000.0,True,True
Vêtements Enfants,Vetement  Enfants,8 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5193655_uploaded_image1_1739987145.jpg,8 500CFA,8500.0,True,True
Vêtements Enfants,Djialap Pour Enfant De 4Ans Jusqua 18Ans,6 500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg,6 500CFA,6500.0,True,True
Vêtements Enfants,Dialabé Enfant,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Djialabé Enfant,8 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196620_uploaded_image1_1740145128.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Ensemble Mardi Gras,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171755_uploaded_image1_1738776386.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Ensemble Pour Enfant De 1Ans Jusqua 15Ans,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5116396_uploaded_image1_1735846707.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Vêtement Enfant,1 000CFA,"Sicap Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141487_uploaded_image1_1737219569.jpg,1 000CFA,1000.0,True,True
Vêtements Enfants,Vêtements Enfants,4 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130020_uploaded_image1_1736594996.jpg,4 500CFA,4500.0,True,True
Vêtements Enfants,Genouillère Anti-Dérapante En Coton,Prix sur demande,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5120586_uploaded_image1_1736107643.jpg,Prix sur demande,,False,True
Vêtements Enfants,Ensemble Pour Enfant,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071417_uploaded_image1_1733140647.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Vêtements Bébé,1 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106688_uploaded_image1_1735128985.jpg,1 000CFA,1000.0,True,True
