categorie,type,prix,adresse,image_lien
Chaussures Homme,Sandales orthopédique,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399752_uploaded_image1_1751349132.jpg
Chaussures Homme,Chaussures hommes,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399749_uploaded_image1_1751348901.jpg
Chaussures Homme,Chaussures New Balance,30 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399692_uploaded_image1_1751338580.jpg
Chaussures Homme,New Balance Fuel cell,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381433_uploaded_image1_1750290780.jpg
Chaussures Homme,New Balance Fuel cell,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381432_uploaded_image1_1750290707.jpg
Chaussures Homme,Sandales Toga,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381435_uploaded_image1_1750290863.jpg
Chaussures Homme,Baskets Asic Cayono,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5371936_uploaded_image1_1749765298.jpg
Chaussures Homme,Sandales,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359154_uploaded_image1_1748983277.jpg
Chaussures Homme,Chaussures  Nike portal,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359143_uploaded_image1_1748982874.jpg
Chaussures Homme,Chaussures Berluti,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359038_uploaded_image1_1748978250.jpg
Chaussures Homme,Baskets New Balance,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359006_uploaded_image1_1748976951.jpg
Chaussures Homme,Chaussures homme,20 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399058_uploaded_image1_1751302512.jpg
Chaussures Homme,Chaussures homme,6 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361744_uploaded_image1_1749121958.jpg
Chaussures Homme,Mocassins hommes,4 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361721_uploaded_image1_1749121349.jpg
Chaussures Homme,Babouches homme,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355160_uploaded_image1_1748804517.jpg
Chaussures Homme,Chaussures homme,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355170_uploaded_image1_1748804676.jpg
Chaussures Homme,Chaussures homme,6 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395482_uploaded_image2_1751059185.jpeg
