categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Chaussures Homme,Baskets Nike P6000,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365720_uploaded_image1_1749418139.jpg,27 000CFA,27000.0,True,True
Chaussures Homme,Baskets Nike Zoomx,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365707_uploaded_image1_1749417627.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets Jordan One Low,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365709_uploaded_image1_1749417739.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets Jordan One,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365710_uploaded_image1_1749417808.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Baskets Jordan 12,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365713_uploaded_image1_1749417889.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets Jordan 3,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365706_uploaded_image1_1749417541.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Sandales Orthopédiques,12 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403273_uploaded_image1_1751493058.jpg,12 000CFA,12000.0,True,True
Chaussures Homme,Baskets Adidas Samba,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365698_uploaded_image1_1749417367.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Baskets New Balance Fuel Cell,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365693_uploaded_image1_1749417266.jpg,27 000CFA,27000.0,True,True
Chaussures Homme,Basktes New Balance Fuel Cell,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365690_uploaded_image1_1749417178.jpg,27 000CFA,27000.0,True,True
Chaussures Homme,Chaussures New Balance,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5369209_uploaded_image1_1749635290.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Crocs,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5387384_uploaded_image1_1750640381.jpg,8 000CFA,8000.0,True,True
Chaussures Homme,Baskets Aire Force One,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361117_uploaded_image1_1749079520.jpg,13 000CFA,13000.0,True,True
Chaussures Homme,Baskets Air Force 1,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361113_uploaded_image1_1749079316.jpg,18 000CFA,18000.0,True,True
Chaussures Homme,Original Lavin,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361109_uploaded_image1_1749079193.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Sandales Dior,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361106_uploaded_image1_1749079052.jpg,17 000CFA,17000.0,True,True
Chaussures Homme,Sandales Berluti,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361104_uploaded_image1_1749078905.jpg,17 000CFA,17000.0,True,True
Chaussures Homme,Sandales Homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364541_uploaded_image1_1749327532.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets Nike Kobe 6 Protro,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401398_uploaded_image1_1751403395.jpg,Prix sur demande,,False,True
Chaussures Homme,Baskets Nike M2K Tecno,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5401387_uploaded_image1_1751402825.jpg,Prix sur demande,,False,True
